MISSION ELAPSED TIME (min),dist
1138.282716,169206.3156
1139.282716,169311.4366
1140.282716,169416.8425
1141.282716,169522.5342
1142.282716,169628.5128
1143.282716,169734.7793
1144.282716,169841.3347
1145.282716,169948.1801
1146.282716,170055.3164
1147.282716,170162.7449
1148.282716,170270.4664
1149.282716,170378.4821
1150.282716,170486.793
1151.282716,170595.4002
1152.282716,170704.3048
1153.282716,170813.5078
1154.282716,170963.336
1155.650291,171073.25
1156.650291,171183.4661
1157.650291,171293.9855
1158.650291,171404.8092
1159.650291,171515.9384
1160.650291,171627.3743
1161.650291,171739.1178
1162.650291,171851.1703
1163.650291,171963.5327
1164.650291,172076.2064
1165.650291,172189.1924
1166.650291,172302.492
1167.650291,172416.1062
1168.650291,172530.0364
1169.650291,172644.2836
1170.650291,172758.8491
1171.650291,172873.734
1172.650291,172988.9397
1173.650291,173104.4672
1174.650291,173220.318
1175.650291,173336.4931
1176.650291,173452.9938
1177.650291,173569.8214
1178.650291,173686.9771
1179.650291,173804.4623
1180.650291,173922.2782
1181.650291,174040.426
1182.650291,174158.9071
1183.650291,174277.7228
1184.650291,174396.8744
1185.650291,174516.3632
1186.650291,174636.1906
1187.650291,174756.3579
1188.650291,174876.8663
1189.650291,174997.7174
1190.650291,175118.9125
1191.650291,175240.4529
1192.650291,175362.34
1193.650291,175484.5753
1194.650291,175607.1601
1195.650291,175730.0959
1196.650291,175853.384
1197.650291,175977.026
1198.650291,176101.0233
1199.650291,176225.3773
1200.650291,176350.0895
1201.650291,176475.1614
1202.650291,176600.5945
1203.650291,176726.3903
1204.650291,176852.5503
1205.650291,176979.076
1206.650291,177105.969
1207.650291,177233.2308
1208.650291,177360.863
1209.650291,177488.8671
1210.650291,177617.2448
1211.650291,177745.9977
1212.650291,177875.1273
1213.650291,178004.6353
1214.650291,178134.5233
1215.650291,178264.793
1216.650291,178395.446
1217.650291,178526.4841
1218.650291,178657.9088
1219.650291,178789.722
